%----------------------------------------------------------------
%  Reference : H. Abe, R.A.Antonia and H. Kawamura,
%  "Correlation between small-scale velocity 
%  and scalar fluctuations in a turbulent channel flow," 
%  J. Fluid Mech., Vol. 627, pp. 1-32 (2009).
%  DOI: https://doi.org/10.1017/S0022112008005569
%----------------------------------------------------------------
Case: cha180

Nomenclature:
     delta = channel half width
     nu = kinematic viscosity
     p = pressure fluctuation
     Re_bulk = Um*2delta/nu : Bulk Reynolds number
     Re_tau = u_tau*delta/nu : Friction Reynolds number
     rho = density
     Um = bulk mean velocity
     u_mean = streamwise mean velocity
     u, v, w = streamwise, wall-normal and spanwise velocity fluctuations
     u_i = ith component of velocity fluctuations
     u_tau = friction velocity
     x, y, z = streamwise, wall-normal and spanwise directions

     + = normalized by wall units (u_tau, nu and rho)
     rms = root-mean-square value


1. Numerical Methodology

1.1. Governing equations
     Navier-Stokes equation and the continuity equation for flow field,
     and the energy equation for thermal field.

1.2. Discretization method
     Finite Difference Method was adopted.
     The fourth-order central difference scheme was adopted in the streamwise and
     spanwise directions, and the second-order central difference scheme was used
     in the wall-normal direction.

1.3. Spatial resolution
     3.00 and 3.00 wall units in the x- and z-directions
     and 0.20 to 5.93 wall units in the y-direction.

1.4. Time advancement
     The Crank-Nicolson method for the viscous terms with wall-normal derivatives
     and the third-order Runge-Kutta method for the other terms.

1.5. Computational volume
     12.8*delta x 2*delta x 6.4*delta.

1.6. Grid
     Staggered grid

1.7. Mesh number
     768 x 128 x 384

1.8. Criterion for stationary state
     The steady state is identified by 
     total shear stress & turbulent kinetic energy for velocity field
     and total heat flux & temperature variance for temperature field.

1.9. Period of time integration for ensemble averaging
     About 3,960 non-dimensional units of time (nu/u_tau^2)
     after the flow reaches the fully developed state.  


2. Conditions

2.1. Specified conditions

     Re_tau = 180

2.2. Obtained mean quantities

     Re_bulk = 5546


3. Turbulence statistics

 j       y+           u_mean+          uu+            ww+
   9.964548e+01   2.254324e-02   4.544085e-03  -1.505499e-02   1.962900e-04   1.200896e-02   2.196713e-04
   1.045372e+02   2.019094e-02   4.367386e-03  -1.360689e-02   1.864408e-04   1.095951e-02   1.783711e-04
   1.095563e+02   1.793540e-02   4.270476e-03  -1.219692e-02   1.507235e-04   1.001009e-02   1.495884e-04
   1.146982e+02   1.576825e-02   4.255638e-03  -1.085130e-02   1.023548e-04   9.148037e-03   1.269087e-04
   1.199560e+02   1.368604e-02   4.339487e-03  -9.598930e-03   5.491376e-05   8.372362e-03   1.091498e-04
   1.253228e+02   1.168852e-02   4.506640e-03  -8.441558e-03   4.042278e-05   7.691125e-03   1.028999e-04
   1.307909e+02   9.770484e-03   4.735905e-03  -7.380603e-03   6.582397e-05   7.092102e-03   9.950758e-05
   1.363518e+02   7.934795e-03   5.009051e-03  -6.392723e-03   1.026947e-04   6.554299e-03   9.951904e-05
   1.419962e+02   6.206190e-03   5.293606e-03  -5.468417e-03   1.499595e-04   6.081402e-03   9.993707e-05
   1.477145e+02   4.620818e-03   5.572331e-03  -4.610088e-03   1.990174e-04   5.681220e-03   1.008583e-04
   1.534961e+02   3.214819e-03   5.835642e-03  -3.842658e-03   2.468066e-04   5.354183e-03   1.004270e-04
   1.593306e+02   2.021560e-03   6.064518e-03  -3.193931e-03   3.030715e-04   5.099274e-03   9.594442e-05
   1.652062e+02   1.075961e-03   6.253014e-03  -2.690085e-03   3.634896e-04   4.913260e-03   8.912004e-05
   1.711116e+02   4.168598e-04   6.411915e-03  -2.353386e-03   4.076806e-04   4.797423e-03   8.564602e-05
   1.770354e+02   7.772778e-05   6.522451e-03  -2.200476e-03   4.364388e-04   4.751527e-03   8.461472e-05


Budget of vv+ :

       y+            Prod.           Diss.       vel_p_grad.     Turb_Diff.    Mole_Diff.        Res.    
   4.011372e-01   0.000000e+00  -2.991203e-08  -4.151908e-05   1.501765e-04   1.035743e-04   5.053140e-06
   8.276940e-01   0.000000e+00  -4.086810e-07  -1.329791e-04   4.614159e-04   3.193107e-04   8.717510e-06
   1.281215e+00   0.000000e+00  -2.164780e-06  -2.349633e-04   8.741070e-04   6.254028e-04   1.157614e-05
   1.763334e+00   0.000000e+00  -6.824756e-06  -3.129218e-04   1.319147e-03   9.851284e-04   1.427228e-05
   2.275765e+00   0.000000e+00  -1.523395e-05  -3.392446e-04   1.743121e-03   1.371133e-03   1.750982e-05
   2.820323e+00   0.000000e+00  -2.560814e-05  -2.950553e-04   2.108556e-03   1.765908e-03   2.198494e-05
   3.398911e+00   0.000000e+00  -3.136811e-05  -1.714773e-04   2.392842e-03   2.161691e-03   2.830572e-05
   4.013532e+00   0.000000e+00  -1.951596e-05   2.995401e-05   2.586137e-03   2.559661e-03   3.691443e-05
   4.666284e+00   0.000000e+00   2.970951e-05   2.980609e-04   2.688599e-03   2.968349e-03   4.802005e-05
   5.359428e+00   0.000000e+00   1.413467e-04   6.142636e-04   2.707238e-03   3.401301e-03   6.154771e-05
   6.095232e+00   0.000000e+00   3.421266e-04   9.564490e-04   2.652734e-03   3.874196e-03   7.711361e-05
   6.876108e+00   0.000000e+00   6.549073e-04   1.304344e-03   2.536613e-03   4.401828e-03   9.403544e-05
   7.704684e+00   0.000000e+00   1.091753e-03   1.645809e-03   2.369241e-03   4.995415e-03   1.113878e-04
   8.583516e+00   0.000000e+00   1.646869e-03   1.982927e-03   2.159000e-03   5.660686e-03   1.281090e-04
   9.515484e+00   0.000000e+00   2.291150e-03   2.336314e-03   1.912686e-03   6.396990e-03   1.431592e-04
   1.050340e+01   0.000000e+00   2.970409e-03   2.745963e-03   1.636735e-03   7.197400e-03   1.557081e-04
   1.155028e+01   0.000000e+00   3.608904e-03   3.267506e-03   1.338458e-03   8.049569e-03   1.652998e-04
   1.265926e+01   0.000000e+00   4.118406e-03   3.963996e-03   1.026515e-03   8.936986e-03   1.719312e-04
   1.383361e+01   0.000000e+00   4.411152e-03   4.894714e-03   7.105093e-04   9.840354e-03   1.760214e-04
   1.507662e+01   0.000000e+00   4.413805e-03   6.103169e-03   4.003271e-04   1.073899e-02   1.783126e-04
   1.639181e+01   0.000000e+00   4.079683e-03   7.606444e-03   1.057678e-04   1.161218e-02   1.797184e-04
   1.778270e+01   0.000000e+00   3.396874e-03   9.388247e-03  -1.636571e-04   1.244035e-02   1.811106e-04
   1.925298e+01   0.000000e+00   2.390232e-03   1.139813e-02  -3.993461e-04   1.320589e-02   1.831223e-04
   2.080634e+01   0.000000e+00   1.117279e-03   1.355745e-02  -5.950955e-04   1.389348e-02   1.861504e-04
   2.244668e+01   0.000000e+00  -3.388693e-04   1.576834e-02  -7.485289e-04   1.449048e-02   1.904604e-04
   2.417782e+01   0.000000e+00  -1.878219e-03   1.792201e-02  -8.600085e-04   1.498764e-02   1.961402e-04
   2.600377e+01   0.000000e+00  -3.396698e-03   1.990970e-02  -9.306482e-04   1.537929e-02   2.030571e-04
   2.792851e+01   0.000000e+00  -4.801577e-03   2.163849e-02  -9.639054e-04   1.566208e-02   2.109317e-04
   2.995600e+01   0.000000e+00  -6.020815e-03   2.304201e-02  -9.675368e-04   1.583390e-02   2.197552e-04
   3.209029e+01   0.000000e+00  -6.997000e-03   2.407176e-02  -9.505086e-04   1.589499e-02   2.292621e-04
   3.433536e+01   0.000000e+00  -7.681827e-03   2.468446e-02  -9.153223e-04   1.584963e-02   2.376838e-04
   3.669516e+01   0.000000e+00  -8.051046e-03   2.486055e-02  -8.610612e-04   1.570522e-02   2.432229e-04
   3.917340e+01   0.000000e+00  -8.113749e-03   2.462069e-02  -7.906731e-04   1.547015e-02   2.461144e-04
   4.177404e+01   0.000000e+00  -7.893244e-03   2.400227e-02  -7.086704e-04   1.515384e-02   2.465091e-04
   4.450068e+01   0.000000e+00  -7.420194e-03   2.304699e-02  -6.169842e-04   1.476625e-02   2.435637e-04
   4.735656e+01   0.000000e+00  -6.747361e-03   2.182021e-02  -5.188772e-04   1.431642e-02   2.375493e-04
   5.034528e+01   0.000000e+00  -5.948687e-03   2.041643e-02  -4.244436e-04   1.381282e-02   2.304856e-04
   5.346900e+01   0.000000e+00  -5.096025e-03   1.892481e-02  -3.414886e-04   1.326405e-02   2.232454e-04
   5.673132e+01   0.000000e+00  -4.249017e-03   1.741558e-02  -2.702832e-04   1.268086e-02   2.154166e-04
   6.013404e+01   0.000000e+00  -3.448969e-03   1.594200e-02  -2.087196e-04   1.207614e-02   2.081749e-04
