# Gartling (1990) BFS benchmark, Re = 800 (step height, mean velocity)
# 1:2 expansion, domain 17 x 1, y in [-0.5, 0.5], step at x = 0
# station x = 7 behind the step; quantity = u
# SOLID LINE extracted from Chan & Mittal, CTR Proc. Summer Program
#   1996, p.352 fig.3, rendered at 600 dpi by reference/gartling_digitize.py
# the o/triangle/square symbols in that figure are Chan & Mittal's own
#   5th/6th/7th order results and are NOT included here
# tabulated originals: Gartling, Int. J. Numer. Meth. Fluids 11 (1990) 953
y,u
0.14171,0.370139
0.14266,0.367676
0.14360,0.365121
0.14454,0.362564
0.14548,0.360035
0.14642,0.357588
0.14736,0.355296
0.14831,0.353125
0.14925,0.35004
0.15019,0.346986
0.15113,0.343456
0.15207,0.339935
0.15301,0.33659
0.15395,0.333288
0.15490,0.329985
0.15584,0.326635
0.15678,0.323237
0.15772,0.319878
0.15866,0.316514
0.15960,0.31326
0.16055,0.309931
0.16149,0.306715
0.16243,0.303455
0.16337,0.300268
0.16431,0.297162
0.16525,0.294149
0.16620,0.291187
0.16714,0.288539
0.16808,0.285935
0.16902,0.283589
0.16996,0.281373
0.17090,0.279474
0.17185,0.277192
0.17279,0.275197
0.17373,0.273081
0.17467,0.271007
0.17561,0.268146
0.17655,0.265327
0.17750,0.262435
0.17844,0.259927
0.17938,0.25741
0.18032,0.25482
0.18126,0.252366
0.18220,0.249877
0.18315,0.247321
0.18409,0.244836
0.18503,0.24162
0.18597,0.238354
0.18691,0.235103
0.18785,0.231979
0.18879,0.228936
0.18974,0.225935
0.19068,0.222876
0.19162,0.219821
0.19256,0.216808
0.19350,0.2138
0.19444,0.21078
0.19539,0.208031
0.19633,0.205343
0.19727,0.20285
0.19821,0.200396
0.19915,0.197995
0.20009,0.195378
0.20104,0.192806
0.20198,0.190176
0.20292,0.187601
0.20386,0.185092
0.20480,0.182709
0.20574,0.180352
0.20669,0.178281
0.20763,0.176226
0.20857,0.17425
0.20951,0.172449
0.21045,0.170809
0.21139,0.168768
0.21234,0.166846
0.21328,0.164856
0.21422,0.162983
0.21516,0.161097
0.21610,0.159284
0.21704,0.156711
0.21798,0.154082
0.21893,0.151446
0.21987,0.148874
0.22081,0.146317
0.22175,0.14413
0.22269,0.141874
0.22363,0.139658
0.22458,0.137377
0.22552,0.13514
0.22646,0.132844
0.22740,0.130598
0.22834,0.128286
0.22928,0.126027
0.23023,0.123717
0.23117,0.121342
0.23211,0.119062
0.23305,0.116801
0.23399,0.114596
0.23493,0.112455
0.23588,0.110333
0.23682,0.108286
0.23776,0.106267
0.23870,0.104484
0.23964,0.102775
0.24058,0.101175
0.24153,0.0996679
0.24247,0.0982858
0.24341,0.0967851
0.24435,0.0955215
0.24529,0.0941673
0.24623,0.0929791
0.24718,0.0916288
0.24812,0.0904473
0.24906,0.0890502
0.25000,0.0877431
0.25094,0.0864498
0.25188,0.085253
0.25282,0.0839926
0.25377,0.0826271
0.25471,0.0808415
0.25565,0.0790514
0.25659,0.0772914
0.25753,0.0755432
0.25847,0.0738553
0.25942,0.0721971
0.26036,0.070519
0.26130,0.0689516
0.26224,0.0674174
0.26318,0.0659478
0.26412,0.0643531
0.26507,0.0628132
0.26601,0.0612503
0.26695,0.0597203
0.26789,0.0582292
0.26883,0.0567834
0.26977,0.055417
0.27072,0.0541116
0.27166,0.0526208
0.27260,0.0512231
0.27354,0.0496996
0.27448,0.0483036
0.27542,0.0469284
0.27637,0.0456664
0.27731,0.0444253
0.27825,0.0432107
0.27919,0.0420286
0.28013,0.0409345
0.28107,0.039822
0.28202,0.0387962
0.28296,0.0375824
0.28390,0.0366202
0.28484,0.0356489
0.28578,0.0347244
0.28672,0.0337406
0.28766,0.0328028
0.28861,0.0318051
0.28955,0.0307926
0.29049,0.0297273
0.29143,0.0286647
0.29237,0.0276106
0.29331,0.0267555
0.29426,0.0259533
0.29520,0.0250371
0.29614,0.0240974
0.29708,0.0231899
0.29802,0.0219278
0.29896,0.0206634
0.29991,0.0193456
0.30085,0.0179667
0.30179,0.0165454
0.30273,0.0151359
0.30367,0.0136864
0.30461,0.0122757
0.30556,0.0108239
0.30650,0.00947182
0.30744,0.00820981
0.30838,0.00696825
0.30932,0.00577993
0.31026,0.00457528
0.31121,0.0034151
0.31215,0.00235367
0.31309,0.0013397
0.31403,0.000452428
0.31497,-0.000555688
0.31591,-0.00160564
0.31685,-0.00263693
0.31780,-0.00357087
0.31874,-0.00448725
0.31968,-0.00525767
0.32062,-0.00615815
0.32156,-0.00698605
0.32250,-0.00790543
0.32345,-0.00883332
0.32439,-0.00988316
0.32533,-0.0110435
0.32627,-0.0122639
0.32721,-0.0134423
0.32815,-0.0146878
0.32910,-0.0159233
0.33004,-0.0170057
0.33098,-0.0179827
0.33192,-0.0189337
0.33286,-0.0198278
0.33380,-0.0206925
0.33475,-0.0215243
0.33569,-0.0223196
0.33663,-0.0230141
0.33757,-0.0237571
0.33851,-0.0245205
0.33945,-0.0252727
0.34040,-0.0259734
0.34134,-0.0266615
0.34228,-0.0272841
0.34322,-0.027866
0.34416,-0.0284041
0.34510,-0.0288949
0.34605,-0.0293105
0.34699,-0.0296755
0.34793,-0.0299495
0.34887,-0.0302272
0.34981,-0.0304556
0.35075,-0.0307439
0.35169,-0.0309896
0.35264,-0.0312882
0.35358,-0.0316121
0.35452,-0.0318886
0.35546,-0.0320533
0.35640,-0.0322297
0.35734,-0.0323656
0.35829,-0.0325148
0.35923,-0.0325755
0.36017,-0.0328681
0.36111,-0.033155
0.36205,-0.0334907
0.36299,-0.0339108
0.36394,-0.0343717
0.36488,-0.0348228
0.36582,-0.0352509
0.36676,-0.0355898
0.36770,-0.0359235
0.36864,-0.0362394
0.36959,-0.0367571
0.37053,-0.0372917
0.37147,-0.0377017
0.37241,-0.03811
0.37335,-0.0385153
0.37429,-0.0389163
0.37524,-0.0393117
0.37618,-0.0397002
0.37712,-0.0400103
0.37806,-0.0403026
0.37900,-0.0405757
0.37994,-0.0408279
0.38089,-0.0410859
0.38183,-0.0413235
0.38277,-0.0416374
0.38371,-0.0419895
0.38465,-0.0423225
0.38559,-0.0426975
0.38653,-0.0429874
0.38748,-0.0432658
0.38842,-0.0435598
0.38936,-0.043844
0.39030,-0.0441738
0.39124,-0.0444622
0.39218,-0.0446385
0.39313,-0.0447766
0.39407,-0.0449318
0.39501,-0.0451037
0.39595,-0.0453482
0.39689,-0.045566
0.39783,-0.0458133
0.39878,-0.0460405
0.39972,-0.0462249
0.40066,-0.0463869
0.40160,-0.0463951
0.40254,-0.0464275
0.40348,-0.0464419
0.40443,-0.046401
0.40537,-0.0463188
0.40631,-0.0461457
0.40725,-0.0460203
0.40819,-0.0459192
0.40913,-0.0458173
0.41008,-0.045638
0.41102,-0.0454375
0.41196,-0.045216
0.41290,-0.0450426
0.41384,-0.0449062
0.41478,-0.044695
0.41573,-0.044459
0.41667,-0.0442126
0.41761,-0.0440429
0.41855,-0.0438664
0.41949,-0.0437088
0.42043,-0.0435147
0.42137,-0.0433347
0.42232,-0.0431419
0.42326,-0.0429125
0.42420,-0.0426899
0.42514,-0.042339
0.42608,-0.0419729
0.42702,-0.0415926
0.42797,-0.0411991
0.42891,-0.0408926
0.42985,-0.0404919
0.43079,-0.0401097
0.43173,-0.0397614
0.43267,-0.0393864
0.43362,-0.038986
0.43456,-0.0385619
0.43550,-0.0381714
0.43644,-0.037866
0.43738,-0.0375351
0.43832,-0.0371809
0.43927,-0.0367069
0.44021,-0.0362512
0.44115,-0.0357595
0.44209,-0.0352337
0.44303,-0.034761
0.44397,-0.0343176
0.44492,-0.0338622
0.44586,-0.0334355
0.44680,-0.0329838
0.44774,-0.0325343
0.44868,-0.0320614
0.44962,-0.0315675
0.45056,-0.0310553
0.45151,-0.0305024
0.45245,-0.0299392
0.45339,-0.0293931
0.45433,-0.0288383
0.45527,-0.0282279
0.45621,-0.0276203
0.45716,-0.0270673
0.45810,-0.0264879
0.45904,-0.0259013
0.45998,-0.0253076
0.46092,-0.0247072
0.46186,-0.0241001
0.46281,-0.0234865
0.46375,-0.0228666
0.46469,-0.0222405
0.46563,-0.0216085
0.46657,-0.0209706
0.46751,-0.020327
0.46846,-0.019678
0.46940,-0.0190236
0.47034,-0.0183641
0.47128,-0.0176995
0.47222,-0.0170302
0.47316,-0.0163562
0.47411,-0.0156776
0.47505,-0.0149948
0.47599,-0.0143078
0.47693,-0.0136168
0.47787,-0.012922
0.47881,-0.0122235
0.47976,-0.0115215
0.48070,-0.0108161
0.48164,-0.0101077
0.48258,-0.00939618
0.48352,-0.00868186
0.48446,-0.00796488
0.48540,-0.00724541
0.48635,-0.0065236
0.48729,-0.00579962
0.48823,-0.00507365
0.48917,-0.00434584
0.49011,-0.00361637
0.49105,-0.0028854
0.49200,-0.0021531
0.49294,-0.00141963
0.49388,-0.000685155
0.49482,5.01503e-05
