# Gartling (1990) BFS benchmark, Re = 800 (step height, mean velocity)
# 1:2 expansion, domain 17 x 1, y in [-0.5, 0.5], step at x = 0
# station x = 7 behind the step; quantity = omega
# SOLID LINE extracted from Chan & Mittal, CTR Proc. Summer Program
#   1996, p.352 fig.3, rendered at 600 dpi by reference/gartling_digitize.py
# the o/triangle/square symbols in that figure are Chan & Mittal's own
#   5th/6th/7th order results and are NOT included here
# tabulated originals: Gartling, Int. J. Numer. Meth. Fluids 11 (1990) 953
y,omega
0.05456,3.77971
0.05550,3.78136
0.05644,3.78381
0.05738,3.78553
0.05833,3.78718
0.05927,3.78851
0.06021,3.78979
0.06115,3.79089
0.06209,3.79215
0.06303,3.79373
0.06397,3.79467
0.06491,3.79519
0.06585,3.79508
0.06679,3.79451
0.06773,3.79348
0.06867,3.79223
0.06961,3.7916
0.07056,3.79088
0.07150,3.78996
0.07244,3.78806
0.07338,3.78583
0.07432,3.78376
0.07526,3.78184
0.07620,3.78107
0.07714,3.78011
0.07808,3.77989
0.07902,3.7796
0.07996,3.77787
0.08090,3.77625
0.08184,3.77426
0.08278,3.77219
0.08373,3.77004
0.08467,3.76812
0.08561,3.7663
0.08655,3.76418
0.08749,3.76227
0.08843,3.76011
0.08937,3.75765
0.09031,3.75536
0.09125,3.7531
0.09219,3.75059
0.09313,3.74787
0.09407,3.74409
0.09501,3.74027
0.09595,3.73615
0.09690,3.73199
0.09784,3.72782
0.09878,3.72291
0.09972,3.71754
0.10066,3.71263
0.10160,3.70747
0.10254,3.70546
0.10348,3.70279
0.10442,3.69968
0.10536,3.69617
0.10630,3.69233
0.10724,3.68807
0.10818,3.68291
0.10913,3.67731
0.11007,3.67092
0.11101,3.6642
0.11195,3.6599
0.11289,3.65469
0.11383,3.6486
0.11477,3.64189
0.11571,3.63439
0.11665,3.62644
0.11759,3.61781
0.11853,3.60853
0.11947,3.59915
0.12041,3.5894
0.12135,3.57945
0.12230,3.56928
0.12324,3.55909
0.12418,3.54828
0.12512,3.53707
0.12606,3.52536
0.12700,3.51368
0.12794,3.50178
0.12888,3.49069
0.12982,3.47932
0.13076,3.46771
0.13170,3.45603
0.13264,3.44446
0.13358,3.43316
0.13452,3.42206
0.13547,3.4109
0.13641,3.39937
0.13735,3.38778
0.13829,3.37883
0.13923,3.36899
0.14017,3.35943
0.14111,3.34963
0.14205,3.34026
0.14299,3.33066
0.14393,3.32404
0.14487,3.31661
0.14581,3.30842
0.14675,3.29945
0.14770,3.29034
0.14864,3.28147
0.14958,3.2731
0.15052,3.26388
0.15146,3.25437
0.15240,3.24295
0.15334,3.2314
0.15428,3.2181
0.15522,3.20435
0.15616,3.19116
0.15710,3.17773
0.15804,3.16412
0.15898,3.15038
0.15992,3.13628
0.16087,3.12236
0.16181,3.108
0.16275,3.09385
0.16369,3.07913
0.16463,3.06439
0.16557,3.04968
0.16651,3.03531
0.16745,3.02076
0.16839,3.00658
0.16933,2.99253
0.17027,2.98017
0.17121,2.96759
0.17215,2.95571
0.17310,2.94361
0.17404,2.93272
0.17498,2.92239
0.17592,2.91293
0.17686,2.90285
0.17780,2.89284
0.17874,2.87914
0.17968,2.86544
0.18062,2.85131
0.18156,2.83722
0.18250,2.82267
0.18344,2.80863
0.18438,2.79482
0.18532,2.78224
0.18627,2.76989
0.18721,2.75769
0.18815,2.74236
0.18909,2.72691
0.19003,2.7114
0.19097,2.69644
0.19191,2.68147
0.19285,2.66623
0.19379,2.65113
0.19473,2.63624
0.19567,2.62104
0.19661,2.6056
0.19755,2.59012
0.19849,2.57627
0.19944,2.56215
0.20038,2.5493
0.20132,2.53654
0.20226,2.52404
0.20320,2.51133
0.20414,2.49871
0.20508,2.48512
0.20602,2.47114
0.20696,2.45737
0.20790,2.44451
0.20884,2.43163
0.20978,2.41991
0.21072,2.40816
0.21167,2.39719
0.21261,2.38692
0.21355,2.3768
0.21449,2.36431
0.21543,2.35228
0.21637,2.33994
0.21731,2.32884
0.21825,2.31721
0.21919,2.30598
0.22013,2.29136
0.22107,2.27654
0.22201,2.26187
0.22295,2.2469
0.22389,2.23168
0.22484,2.21651
0.22578,2.20059
0.22672,2.18632
0.22766,2.17194
0.22860,2.15911
0.22954,2.14578
0.23048,2.1325
0.23142,2.11905
0.23236,2.10598
0.23330,2.0928
0.23424,2.0798
0.23518,2.06677
0.23612,2.05389
0.23706,2.04079
0.23801,2.02755
0.23895,2.01421
0.23989,2.00071
0.24083,1.98752
0.24177,1.97471
0.24271,1.96204
0.24365,1.95131
0.24459,1.94062
0.24553,1.93053
0.24647,1.91913
0.24741,1.9082
0.24835,1.89683
0.24929,1.88569
0.25024,1.87357
0.25118,1.86269
0.25212,1.85107
0.25306,1.84093
0.25400,1.83072
0.25494,1.82099
0.25588,1.81095
0.25682,1.8019
0.25776,1.7925
0.25870,1.78306
0.25964,1.77288
0.26058,1.76243
0.26152,1.75057
0.26246,1.73891
0.26341,1.72695
0.26435,1.7151
0.26529,1.703
0.26623,1.69182
0.26717,1.67972
0.26811,1.66757
0.26905,1.65546
0.26999,1.64341
0.27093,1.63117
0.27187,1.61887
0.27281,1.60705
0.27375,1.59569
0.27469,1.58295
0.27563,1.57063
0.27658,1.55707
0.27752,1.54477
0.27846,1.53214
0.27940,1.52081
0.28034,1.50932
0.28128,1.49797
0.28222,1.48709
0.28316,1.47673
0.28410,1.46569
0.28504,1.45514
0.28598,1.44358
0.28692,1.43437
0.28786,1.42425
0.28881,1.41404
0.28975,1.40379
0.29069,1.39356
0.29163,1.38286
0.29257,1.37224
0.29351,1.36035
0.29445,1.34789
